timeVals,jointPos,muscleAct,motorTorque
[0.002],[1.7438],[0.0004 0.0004 0.0004 0.0004 0.0004 0.0004],[15.9711]
[0.004],[1.7445],[0.0006 0.0006 0.0006 0.0006 0.0006 0.0006],[14.6677]
[0.006],[1.7444],[0.0008 0.0008 0.0008 0.0008 0.0008 0.0008],[12.185]
[0.008],[1.7438],[0.0009 0.0009 0.0009 0.0009 0.0009 0.0009],[9.7665]
[0.01],[1.7427],[0.0009 0.0009 0.0009 0.0009 0.0009 0.0009],[7.4146]
[0.012],[1.7412],[0.001 0.001 0.001 0.001 0.001 0.001],[5.17]
[0.014],[1.7395],[0.001 0.001 0.001 0.001 0.001 0.001],[3.0679]
[0.016],[1.7377],[0.001 0.001 0.001 0.001 0.001 0.001],[1.1385]
[0.018],[1.7359],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.5933]
[0.02],[1.7341],[0.001 0.001 0.001 0.001 0.001 0.001],[-2.1088]
[0.022],[1.7325],[0.001 0.001 0.001 0.001 0.001 0.001],[-4.5253]
[0.024],[1.7311],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.349]
[0.026],[1.73],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.9368]
[0.028],[1.7292],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.2967]
[0.03],[1.7287],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.4412]
[0.032],[1.7286],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.3869]
[0.034],[1.7287],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.1536]
[0.036],[1.7292],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.7633]
[0.038],[1.7299],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.2399]
[0.04],[1.7309],[0.001 0.001 0.001 0.001 0.001 0.001],[-4.6086]
[0.042],[1.7321],[0.0085 0.0085 0.0085 0.001  0.001  0.001 ],[-3.8908]
[0.044],[1.7334],[0.0129 0.0129 0.0129 0.001  0.001  0.001 ],[-3.153]
[0.046],[1.7349],[0.0155 0.0155 0.0155 0.001  0.001  0.001 ],[-2.4042]
[0.048],[1.7364],[0.0172 0.0172 0.0172 0.001  0.001  0.001 ],[-1.6626]
[0.05],[1.738],[0.0182 0.0182 0.0182 0.001  0.001  0.001 ],[-0.9443]
[0.052],[1.7395],[0.0188 0.0188 0.0188 0.001  0.001  0.001 ],[-0.2645]
[0.054],[1.741],[0.0192 0.0192 0.0192 0.001  0.001  0.001 ],[0.3631]
[0.056],[1.7425],[0.0194 0.0194 0.0194 0.001  0.001  0.001 ],[0.9271]
[0.058],[1.7439],[0.0195 0.0195 0.0195 0.001  0.001  0.001 ],[1.4182]
[0.06],[1.7451],[0.0196 0.0196 0.0196 0.001  0.001  0.001 ],[1.8296]
[0.062],[1.7462],[0.0242 0.0242 0.0242 0.001  0.001  0.001 ],[2.5991]
[0.064],[1.7471],[0.0271 0.0271 0.0271 0.001  0.001  0.001 ],[2.7441]
[0.066],[1.7478],[0.0288 0.0288 0.0288 0.001  0.001  0.001 ],[2.7865]
[0.068],[1.7484],[0.0299 0.0299 0.0299 0.001  0.001  0.001 ],[2.7348]
[0.07],[1.7487],[0.0306 0.0306 0.0306 0.001  0.001  0.001 ],[2.5983]
[0.072],[1.7488],[0.031 0.031 0.031 0.001 0.001 0.001],[2.3873]
[0.074],[1.7488],[0.0313 0.0313 0.0313 0.001  0.001  0.001 ],[2.1125]
[0.076],[1.7487],[0.0315 0.0315 0.0315 0.001  0.001  0.001 ],[1.7854]
[0.078],[1.7484],[0.0316 0.0316 0.0316 0.001  0.001  0.001 ],[1.4176]
[0.08],[1.7479],[0.0317 0.0317 0.0317 0.001  0.001  0.001 ],[1.0209]
[0.082],[1.7474],[0.0311 0.0311 0.0311 0.0091 0.0091 0.0044],[0.533]
[0.084],[1.7469],[0.0305 0.0305 0.0305 0.0139 0.0139 0.0065],[0.1766]
[0.086],[1.7463],[0.0299 0.0299 0.0299 0.0167 0.0167 0.0077],[-0.1495]
[0.088],[1.7457],[0.0294 0.0294 0.0294 0.0185 0.0185 0.0085],[-0.4433]
[0.09],[1.7451],[0.0289 0.0289 0.0289 0.0196 0.0196 0.0089],[-0.7027]
[0.092],[1.7445],[0.0283 0.0283 0.0283 0.0202 0.0202 0.0092],[-0.9255]
[0.094],[1.744],[0.0278 0.0278 0.0278 0.0206 0.0206 0.0094],[-1.11]
[0.096],[1.7435],[0.0273 0.0273 0.0273 0.0209 0.0209 0.0095],[-1.255]
[0.098],[1.7431],[0.0269 0.0269 0.0269 0.0211 0.0211 0.0095],[-1.3603]
[0.1],[1.7427],[0.0264 0.0264 0.0264 0.0212 0.0212 0.0096],[-1.4263]
[0.102],[1.7425],[0.0259 0.0259 0.0259 0.0224 0.0224 0.01  ],[-1.5888]
[0.104],[1.7423],[0.0254 0.0254 0.0254 0.0232 0.0232 0.0103],[-1.5508]
[0.106],[1.7421],[0.025  0.025  0.025  0.0237 0.0237 0.0105],[-1.4752]
[0.108],[1.7421],[0.0245 0.0245 0.0245 0.024  0.024  0.0106],[-1.3671]
[0.11],[1.7421],[0.0241 0.0241 0.0241 0.0242 0.0242 0.0106],[-1.2318]
[0.112],[1.7422],[0.0236 0.0236 0.0236 0.0243 0.0243 0.0107],[-1.0746]
[0.114],[1.7423],[0.0232 0.0232 0.0232 0.0243 0.0243 0.0107],[-0.9008]
[0.116],[1.7425],[0.0228 0.0228 0.0228 0.0244 0.0244 0.0107],[-0.7156]
[0.118],[1.7427],[0.0224 0.0224 0.0224 0.0244 0.0244 0.0107],[-0.5241]
[0.12],[1.7429],[0.022  0.022  0.022  0.0244 0.0244 0.0107],[-0.3311]
[0.122],[1.7432],[0.0217 0.0217 0.0217 0.024  0.024  0.0105],[-0.0536]
[0.124],[1.7435],[0.0215 0.0215 0.0215 0.0236 0.0236 0.0103],[0.1114]
[0.126],[1.7437],[0.0212 0.0212 0.0212 0.0231 0.0231 0.0101],[0.2628]
[0.128],[1.744],[0.0209 0.0209 0.0209 0.0227 0.0227 0.0099],[0.3977]
[0.13],[1.7442],[0.0207 0.0207 0.0207 0.0223 0.0223 0.0098],[0.514]
[0.132],[1.7444],[0.0204 0.0204 0.0204 0.0219 0.0219 0.0096],[0.6102]
[0.134],[1.7446],[0.0202 0.0202 0.0202 0.0216 0.0216 0.0094],[0.6855]
[0.136],[1.7447],[0.02   0.02   0.02   0.0212 0.0212 0.0092],[0.7395]
[0.138],[1.7449],[0.0197 0.0197 0.0197 0.0208 0.0208 0.0091],[0.7725]
[0.14],[1.7449],[0.0195 0.0195 0.0195 0.0205 0.0205 0.0089],[0.7853]
[0.142],[1.745],[0.0192 0.0192 0.0192 0.0201 0.0201 0.0087],[0.8476]
[0.144],[1.745],[0.0189 0.0189 0.0189 0.0197 0.0197 0.0086],[0.8128]
[0.146],[1.7449],[0.0186 0.0186 0.0186 0.0194 0.0194 0.0084],[0.7619]
[0.148],[1.7449],[0.0183 0.0183 0.0183 0.019  0.019  0.0083],[0.6975]
[0.15],[1.7448],[0.0181 0.0181 0.0181 0.0187 0.0187 0.0082],[0.622]
[0.152],[1.7446],[0.0178 0.0178 0.0178 0.0183 0.0183 0.008 ],[0.5381]
[0.154],[1.7445],[0.0175 0.0175 0.0175 0.018  0.018  0.0079],[0.4483]
[0.156],[1.7443],[0.0173 0.0173 0.0173 0.0177 0.0177 0.0078],[0.3552]
[0.158],[1.7442],[0.017  0.017  0.017  0.0174 0.0174 0.0076],[0.2613]
[0.16],[1.744],[0.0168 0.0168 0.0168 0.0171 0.0171 0.0075],[0.1688]
[0.162],[1.7438],[0.0165 0.0165 0.0165 0.017  0.017  0.0075],[0.0366]
[0.164],[1.7436],[0.0162 0.0162 0.0162 0.017  0.017  0.0074],[-0.0378]
[0.166],[1.7434],[0.0159 0.0159 0.0159 0.0169 0.0169 0.0074],[-0.1039]
[0.168],[1.7433],[0.0156 0.0156 0.0156 0.0168 0.0168 0.0074],[-0.1604]
[0.17],[1.7431],[0.0153 0.0153 0.0153 0.0167 0.0167 0.0073],[-0.2067]
[0.172],[1.743],[0.0151 0.0151 0.0151 0.0167 0.0167 0.0073],[-0.2421]
[0.174],[1.7428],[0.0148 0.0148 0.0148 0.0166 0.0166 0.0073],[-0.2665]
[0.176],[1.7427],[0.0145 0.0145 0.0145 0.0166 0.0166 0.0072],[-0.2801]
[0.178],[1.7427],[0.0143 0.0143 0.0143 0.0165 0.0165 0.0072],[-0.2831]
[0.18],[1.7426],[0.0141 0.0141 0.0141 0.0164 0.0164 0.0072],[-0.2762]
[0.182],[1.7425],[0.0138 0.0138 0.0138 0.0162 0.0162 0.0071],[-0.2843]
[0.184],[1.7425],[0.0136 0.0136 0.0136 0.016  0.016  0.007 ],[-0.2568]
[0.186],[1.7425],[0.0133 0.0133 0.0133 0.0158 0.0158 0.0069],[-0.2227]
[0.188],[1.7425],[0.0131 0.0131 0.0131 0.0156 0.0156 0.0069],[-0.1835]
[0.19],[1.7426],[0.0129 0.0129 0.0129 0.0154 0.0154 0.0068],[-0.1404]
[0.192],[1.7426],[0.0127 0.0127 0.0127 0.0152 0.0152 0.0067],[-0.0947]
[0.194],[1.7427],[0.0125 0.0125 0.0125 0.015  0.015  0.0066],[-0.0477]
[0.196],[1.7427],[0.0123 0.0123 0.0123 0.0148 0.0148 0.0066],[-0.0006]
[0.198],[1.7428],[0.0121 0.0121 0.0121 0.0146 0.0146 0.0065],[0.0455]
[0.2],[1.7428],[0.0119 0.0119 0.0119 0.0145 0.0145 0.0064],[0.0896]
[0.202],[1.7429],[0.0117 0.0117 0.0117 0.0142 0.0142 0.0063],[0.1568]
[0.204],[1.743],[0.0115 0.0115 0.0115 0.0139 0.0139 0.0062],[0.1893]
[0.206],[1.743],[0.0114 0.0114 0.0114 0.0137 0.0137 0.0061],[0.2169]
[0.208],[1.7431],[0.0112 0.0112 0.0112 0.0135 0.0135 0.006 ],[0.2392]
[0.21],[1.7431],[0.0111 0.0111 0.0111 0.0132 0.0132 0.0059],[0.2561]
[0.212],[1.7431],[0.0109 0.0109 0.0109 0.013  0.013  0.0058],[0.2674]
[0.214],[1.7432],[0.0108 0.0108 0.0108 0.0128 0.0128 0.0057],[0.2732]
[0.216],[1.7432],[0.0106 0.0106 0.0106 0.0125 0.0125 0.0056],[0.2739]
[0.218],[1.7432],[0.0105 0.0105 0.0105 0.0123 0.0123 0.0055],[0.2696]
[0.22],[1.7432],[0.0104 0.0104 0.0104 0.0121 0.0121 0.0054],[0.2608]
[0.222],[1.7432],[0.0102 0.0102 0.0102 0.0119 0.0119 0.0054],[0.2577]
[0.224],[1.7432],[0.01   0.01   0.01   0.0117 0.0117 0.0053],[0.2403]
[0.226],[1.7431],[0.0099 0.0099 0.0099 0.0115 0.0115 0.0052],[0.2201]
[0.228],[1.7431],[0.0097 0.0097 0.0097 0.0114 0.0114 0.0051],[0.198]
[0.23],[1.7431],[0.0096 0.0096 0.0096 0.0112 0.0112 0.0051],[0.1745]
[0.232],[1.743],[0.0094 0.0094 0.0094 0.011  0.011  0.005 ],[0.1502]
[0.234],[1.743],[0.0093 0.0093 0.0093 0.0109 0.0109 0.0049],[0.1258]
[0.236],[1.7429],[0.0092 0.0092 0.0092 0.0107 0.0107 0.0049],[0.1019]
[0.238],[1.7429],[0.009  0.009  0.009  0.0105 0.0105 0.0048],[0.079]
[0.24],[1.7428],[0.0089 0.0089 0.0089 0.0104 0.0104 0.0047],[0.0575]
[0.242],[1.7428],[0.0087 0.0087 0.0087 0.0103 0.0103 0.0047],[0.0243]
[0.244],[1.7427],[0.0086 0.0086 0.0086 0.0101 0.0101 0.0046],[0.0094]
[0.246],[1.7427],[0.0085 0.0085 0.0085 0.01   0.01   0.0046],[-0.0029]
[0.248],[1.7427],[0.0083 0.0083 0.0083 0.0099 0.0099 0.0045],[-0.0123]
[0.25],[1.7426],[0.0082 0.0082 0.0082 0.0098 0.0098 0.0045],[-0.019]
[0.252],[1.7426],[0.0081 0.0081 0.0081 0.0097 0.0097 0.0045],[-0.023]
[0.254],[1.7426],[0.0079 0.0079 0.0079 0.0096 0.0096 0.0044],[-0.0243]
[0.256],[1.7426],[0.0078 0.0078 0.0078 0.0095 0.0095 0.0044],[-0.023]
[0.258],[1.7426],[0.0077 0.0077 0.0077 0.0094 0.0094 0.0043],[-0.0195]
[0.26],[1.7425],[0.0076 0.0076 0.0076 0.0093 0.0093 0.0043],[-0.014]
[0.262],[1.7425],[0.0074 0.0074 0.0074 0.0091 0.0091 0.0042],[-0.0101]
