timeVals,jointPos,muscleAct,motorTorque
[0.002],[1.7439],[0.0004 0.0004 0.0004 0.0004 0.0004 0.0004],[16.0127]
[0.004],[1.7445],[0.0006 0.0006 0.0006 0.0006 0.0006 0.0006],[14.7045]
[0.006],[1.7445],[0.0008 0.0008 0.0008 0.0008 0.0008 0.0008],[12.2129]
[0.008],[1.7438],[0.0009 0.0009 0.0009 0.0009 0.0009 0.0009],[9.786]
[0.01],[1.7427],[0.0009 0.0009 0.0009 0.0009 0.0009 0.0009],[7.4263]
[0.012],[1.7412],[0.001 0.001 0.001 0.001 0.001 0.001],[5.1746]
[0.014],[1.7395],[0.001 0.001 0.001 0.001 0.001 0.001],[3.0661]
[0.016],[1.7377],[0.001 0.001 0.001 0.001 0.001 0.001],[1.1311]
[0.018],[1.7358],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.6055]
[0.02],[1.734],[0.001 0.001 0.001 0.001 0.001 0.001],[-2.1248]
[0.022],[1.7324],[0.001 0.001 0.001 0.001 0.001 0.001],[-4.548]
[0.024],[1.7311],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.3731]
[0.026],[1.73],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.9615]
[0.028],[1.7292],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.3211]
[0.03],[1.7287],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.4647]
[0.032],[1.7285],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.409]
[0.034],[1.7287],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.1736]
[0.036],[1.7291],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.7808]
[0.038],[1.7299],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.2547]
[0.04],[1.7308],[0.001 0.001 0.001 0.001 0.001 0.001],[-4.6204]
[0.042],[1.732],[0.006 0.006 0.006 0.001 0.001 0.001],[-3.8987]
[0.044],[1.7334],[0.009 0.009 0.009 0.001 0.001 0.001],[-3.1446]
[0.046],[1.7349],[0.0108 0.0108 0.0108 0.001  0.001  0.001 ],[-2.3725]
[0.048],[1.7364],[0.0118 0.0118 0.0118 0.001  0.001  0.001 ],[-1.6029]
[0.05],[1.738],[0.0125 0.0125 0.0125 0.001  0.001  0.001 ],[-0.8538]
[0.052],[1.7396],[0.0129 0.0129 0.0129 0.001  0.001  0.001 ],[-0.1417]
[0.054],[1.7412],[0.0132 0.0132 0.0132 0.001  0.001  0.001 ],[0.5185]
[0.056],[1.7427],[0.0133 0.0133 0.0133 0.001  0.001  0.001 ],[1.1144]
[0.058],[1.7441],[0.0134 0.0134 0.0134 0.001  0.001  0.001 ],[1.6359]
[0.06],[1.7454],[0.0135 0.0135 0.0135 0.001  0.001  0.001 ],[2.0754]
[0.062],[1.7465],[0.0168 0.0168 0.0168 0.001  0.001  0.001 ],[2.8906]
[0.064],[1.7474],[0.0188 0.0188 0.0188 0.001  0.001  0.001 ],[3.0611]
[0.066],[1.7482],[0.02  0.02  0.02  0.001 0.001 0.001],[3.1292]
[0.068],[1.7488],[0.0208 0.0208 0.0208 0.001  0.001  0.001 ],[3.1022]
[0.07],[1.7491],[0.0213 0.0213 0.0213 0.001  0.001  0.001 ],[2.9884]
[0.072],[1.7493],[0.0216 0.0216 0.0216 0.001  0.001  0.001 ],[2.7975]
[0.074],[1.7493],[0.0218 0.0218 0.0218 0.001  0.001  0.001 ],[2.5397]
[0.076],[1.7492],[0.0219 0.0219 0.0219 0.001  0.001  0.001 ],[2.2262]
[0.078],[1.7489],[0.022 0.022 0.022 0.001 0.001 0.001],[1.8686]
[0.08],[1.7485],[0.022 0.022 0.022 0.001 0.001 0.001],[1.4784]
[0.082],[1.748],[0.0216 0.0216 0.0216 0.0063 0.0063 0.0032],[1.0087]
[0.084],[1.7474],[0.0212 0.0212 0.0212 0.0094 0.0094 0.0045],[0.6327]
[0.086],[1.7468],[0.0208 0.0208 0.0208 0.0112 0.0112 0.0053],[0.2743]
[0.088],[1.7461],[0.0205 0.0205 0.0205 0.0124 0.0124 0.0058],[-0.0612]
[0.09],[1.7455],[0.0201 0.0201 0.0201 0.0131 0.0131 0.0061],[-0.3693]
[0.092],[1.7448],[0.0198 0.0198 0.0198 0.0135 0.0135 0.0063],[-0.6457]
[0.094],[1.7442],[0.0194 0.0194 0.0194 0.0138 0.0138 0.0064],[-0.8866]
[0.096],[1.7437],[0.0191 0.0191 0.0191 0.0139 0.0139 0.0065],[-1.0893]
[0.098],[1.7432],[0.0188 0.0188 0.0188 0.014  0.014  0.0065],[-1.252]
[0.1],[1.7427],[0.0185 0.0185 0.0185 0.0141 0.0141 0.0065],[-1.3738]
[0.102],[1.7424],[0.0181 0.0181 0.0181 0.0162 0.0162 0.0075],[-1.6215]
[0.104],[1.7421],[0.0178 0.0178 0.0178 0.0176 0.0176 0.0081],[-1.6218]
