timeVals,jointPos,muscleAct,motorTorque
[0.002],[1.7438],[0.0004 0.0004 0.0004 0.0004 0.0004 0.0004],[15.9882]
[0.004],[1.7445],[0.0006 0.0006 0.0006 0.0006 0.0006 0.0006],[14.6828]
[0.006],[1.7444],[0.0008 0.0008 0.0008 0.0008 0.0008 0.0008],[12.1965]
[0.008],[1.7438],[0.0009 0.0009 0.0009 0.0009 0.0009 0.0009],[9.7744]
[0.01],[1.7427],[0.0009 0.0009 0.0009 0.0009 0.0009 0.0009],[7.4193]
[0.012],[1.7412],[0.001 0.001 0.001 0.001 0.001 0.001],[5.1717]
[0.014],[1.7395],[0.001 0.001 0.001 0.001 0.001 0.001],[3.067]
[0.016],[1.7377],[0.001 0.001 0.001 0.001 0.001 0.001],[1.1354]
[0.018],[1.7359],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.5985]
[0.02],[1.7341],[0.001 0.001 0.001 0.001 0.001 0.001],[-2.1156]
[0.022],[1.7325],[0.001 0.001 0.001 0.001 0.001 0.001],[-4.5348]
[0.024],[1.7311],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.3591]
[0.026],[1.73],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.9471]
[0.028],[1.7292],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.3069]
[0.03],[1.7287],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.451]
[0.032],[1.7286],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.3961]
[0.034],[1.7287],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.1619]
[0.036],[1.7292],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.7706]
[0.038],[1.7299],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.2461]
[0.04],[1.7309],[0.001 0.001 0.001 0.001 0.001 0.001],[-4.6135]
[0.042],[1.732],[0.0085 0.0085 0.0085 0.001  0.001  0.001 ],[-3.8941]
[0.044],[1.7334],[0.0129 0.0129 0.0129 0.001  0.001  0.001 ],[-3.1552]
