timeVals,jointPos,muscleAct,motorTorque
[0.002],[1.7438],[0.0004 0.0004 0.0004 0.0004 0.0004 0.0004],[15.9871]
[0.004],[1.7445],[0.0006 0.0006 0.0006 0.0006 0.0006 0.0006],[14.6818]
[0.006],[1.7444],[0.0008 0.0008 0.0008 0.0008 0.0008 0.0008],[12.1957]
[0.008],[1.7438],[0.0009 0.0009 0.0009 0.0009 0.0009 0.0009],[9.7739]
[0.01],[1.7427],[0.0009 0.0009 0.0009 0.0009 0.0009 0.0009],[7.419]
[0.012],[1.7412],[0.001 0.001 0.001 0.001 0.001 0.001],[5.1716]
[0.014],[1.7395],[0.001 0.001 0.001 0.001 0.001 0.001],[3.0671]
[0.016],[1.7377],[0.001 0.001 0.001 0.001 0.001 0.001],[1.1356]
[0.018],[1.7359],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.5981]
[0.02],[1.7341],[0.001 0.001 0.001 0.001 0.001 0.001],[-2.1151]
[0.022],[1.7325],[0.001 0.001 0.001 0.001 0.001 0.001],[-4.5342]
[0.024],[1.7311],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.3584]
[0.026],[1.73],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.9465]
[0.028],[1.7292],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.3062]
[0.03],[1.7287],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.4504]
[0.032],[1.7286],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.3955]
[0.034],[1.7287],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.1614]
[0.036],[1.7292],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.7701]
[0.038],[1.7299],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.2457]
[0.04],[1.7309],[0.001 0.001 0.001 0.001 0.001 0.001],[-4.6132]
[0.042],[1.732],[0.006 0.006 0.006 0.001 0.001 0.001],[-3.8939]
[0.044],[1.7334],[0.0089 0.0089 0.0089 0.001  0.001  0.001 ],[-3.1415]
[0.046],[1.7349],[0.0107 0.0107 0.0107 0.001  0.001  0.001 ],[-2.3711]
[0.048],[1.7364],[0.0118 0.0118 0.0118 0.001  0.001  0.001 ],[-1.6031]
[0.05],[1.738],[0.0125 0.0125 0.0125 0.001  0.001  0.001 ],[-0.8553]
[0.052],[1.7396],[0.0129 0.0129 0.0129 0.001  0.001  0.001 ],[-0.1445]
[0.054],[1.7412],[0.0131 0.0131 0.0131 0.001  0.001  0.001 ],[0.5146]
[0.056],[1.7427],[0.0133 0.0133 0.0133 0.001  0.001  0.001 ],[1.1096]
[0.058],[1.7441],[0.0134 0.0134 0.0134 0.001  0.001  0.001 ],[1.6304]
[0.06],[1.7454],[0.0134 0.0134 0.0134 0.001  0.001  0.001 ],[2.0695]
