timeVals,jointPos,muscleAct,motorTorque
[0.002],[1.7438],[0.0004 0.0004 0.0004 0.0004 0.0004 0.0004],[15.9677]
[0.004],[1.7445],[0.0006 0.0006 0.0006 0.0006 0.0006 0.0006],[14.6647]
[0.006],[1.7444],[0.0008 0.0008 0.0008 0.0008 0.0008 0.0008],[12.1828]
[0.008],[1.7438],[0.0009 0.0009 0.0009 0.0009 0.0009 0.0009],[9.7649]
[0.01],[1.7427],[0.0009 0.0009 0.0009 0.0009 0.0009 0.0009],[7.4137]
[0.012],[1.7412],[0.001 0.001 0.001 0.001 0.001 0.001],[5.1697]
[0.014],[1.7395],[0.001 0.001 0.001 0.001 0.001 0.001],[3.0681]
[0.016],[1.7377],[0.001 0.001 0.001 0.001 0.001 0.001],[1.1392]
[0.018],[1.7359],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.5923]
[0.02],[1.7341],[0.001 0.001 0.001 0.001 0.001 0.001],[-2.1075]
[0.022],[1.7325],[0.001 0.001 0.001 0.001 0.001 0.001],[-4.5234]
[0.024],[1.7311],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.3469]
[0.026],[1.73],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.9348]
[0.028],[1.7292],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.2946]
[0.03],[1.7287],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.4392]
[0.032],[1.7286],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.3851]
[0.034],[1.7287],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.1519]
[0.036],[1.7292],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.7618]
[0.038],[1.7299],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.2387]
[0.04],[1.7309],[0.001 0.001 0.001 0.001 0.001 0.001],[-4.6076]
[0.042],[1.7321],[0.001  0.001  0.001  0.001  0.001  0.0011],[-3.8902]
[0.044],[1.7334],[0.001  0.001  0.001  0.0011 0.001  0.0012],[-3.1121]
[0.046],[1.7349],[0.001  0.001  0.001  0.0011 0.001  0.0012],[-2.3012]
[0.048],[1.7365],[0.001  0.001  0.001  0.0011 0.001  0.0012],[-1.4827]
[0.05],[1.7381],[0.001  0.001  0.001  0.0011 0.001  0.0012],[-0.6782]
[0.052],[1.7398],[0.001  0.001  0.001  0.0011 0.001  0.0012],[0.093]
[0.054],[1.7414],[0.001  0.001  0.001  0.0011 0.001  0.0012],[0.8138]
[0.056],[1.743],[0.001  0.001  0.001  0.0011 0.001  0.0013],[1.4697]
[0.058],[1.7445],[0.001  0.001  0.001  0.0011 0.001  0.0013],[2.049]
[0.06],[1.7458],[0.001  0.001  0.001  0.0011 0.001  0.0013],[2.5428]
[0.062],[1.747],[0.001  0.001  0.001  0.0011 0.001  0.0013],[3.4444]
[0.064],[1.748],[0.001  0.001  0.001  0.0011 0.001  0.0014],[3.6705]
[0.066],[1.7488],[0.001  0.001  0.001  0.0011 0.001  0.0014],[3.7978]
[0.068],[1.7495],[0.001  0.001  0.001  0.0012 0.001  0.0014],[3.8297]
[0.07],[1.7499],[0.001  0.001  0.001  0.0012 0.001  0.0014],[3.7724]
[0.072],[1.7502],[0.001  0.001  0.001  0.0012 0.001  0.0014],[3.6333]
[0.074],[1.7502],[0.001  0.001  0.001  0.0012 0.001  0.0014],[3.4217]
[0.076],[1.7502],[0.001  0.001  0.001  0.0012 0.001  0.0014],[3.1476]
[0.078],[1.7499],[0.001  0.001  0.001  0.0012 0.001  0.0014],[2.822]
[0.08],[1.7495],[0.001  0.001  0.001  0.0012 0.001  0.0014],[2.4564]
[0.082],[1.749],[0.001  0.001  0.001  0.0012 0.001  0.0015],[2.0398]
