timeVals,jointPos,muscleAct,motorTorque
[0.002],[1.7439],[0.0004 0.0004 0.0004 0.0004 0.0004 0.0004],[16.0121]
[0.004],[1.7445],[0.0006 0.0006 0.0006 0.0006 0.0006 0.0006],[14.7039]
[0.006],[1.7445],[0.0008 0.0008 0.0008 0.0008 0.0008 0.0008],[12.2125]
[0.008],[1.7438],[0.0009 0.0009 0.0009 0.0009 0.0009 0.0009],[9.7857]
[0.01],[1.7427],[0.0009 0.0009 0.0009 0.0009 0.0009 0.0009],[7.4262]
[0.012],[1.7412],[0.001 0.001 0.001 0.001 0.001 0.001],[5.1745]
[0.014],[1.7395],[0.001 0.001 0.001 0.001 0.001 0.001],[3.0661]
[0.016],[1.7377],[0.001 0.001 0.001 0.001 0.001 0.001],[1.1313]
[0.018],[1.7358],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.6053]
[0.02],[1.734],[0.001 0.001 0.001 0.001 0.001 0.001],[-2.1245]
[0.022],[1.7324],[0.001 0.001 0.001 0.001 0.001 0.001],[-4.5477]
[0.024],[1.7311],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.3727]
[0.026],[1.73],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.9611]
[0.028],[1.7292],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.3207]
[0.03],[1.7287],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.4643]
[0.032],[1.7285],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.4086]
[0.034],[1.7287],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.1733]
[0.036],[1.7291],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.7806]
[0.038],[1.7299],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.2545]
[0.04],[1.7308],[0.001 0.001 0.001 0.001 0.001 0.001],[-4.6202]
[0.042],[1.732],[0.001  0.001  0.001  0.001  0.001  0.0011],[-3.8986]
[0.044],[1.7334],[0.001  0.001  0.001  0.0011 0.001  0.0012],[-3.1173]
