timeVals,jointPos,muscleAct,motorTorque
[0.002],[1.7439],[0.0004 0.0004 0.0004 0.0004 0.0004 0.0004],[16.0219]
[0.004],[1.7445],[0.0006 0.0006 0.0006 0.0006 0.0006 0.0006],[14.7125]
[0.006],[1.7445],[0.0008 0.0008 0.0008 0.0008 0.0008 0.0008],[12.219]
[0.008],[1.7438],[0.0009 0.0009 0.0009 0.0009 0.0009 0.0009],[9.7903]
[0.01],[1.7427],[0.0009 0.0009 0.0009 0.0009 0.0009 0.0009],[7.4289]
[0.012],[1.7412],[0.001 0.001 0.001 0.001 0.001 0.001],[5.1756]
[0.014],[1.7396],[0.001 0.001 0.001 0.001 0.001 0.001],[3.0657]
[0.016],[1.7377],[0.001 0.001 0.001 0.001 0.001 0.001],[1.1295]
[0.018],[1.7359],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.6081]
[0.02],[1.7341],[0.001 0.001 0.001 0.001 0.001 0.001],[-2.1282]
[0.022],[1.7325],[0.001 0.001 0.001 0.001 0.001 0.001],[-4.5529]
[0.024],[1.7311],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.3783]
[0.026],[1.73],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.9668]
[0.028],[1.7292],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.3263]
[0.03],[1.7287],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.4697]
[0.032],[1.7286],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.4136]
[0.034],[1.7287],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.1778]
[0.036],[1.7292],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.7845]
[0.038],[1.7299],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.2578]
[0.04],[1.7309],[0.001 0.001 0.001 0.001 0.001 0.001],[-4.6228]
[0.042],[1.7321],[0.001 0.001 0.001 0.001 0.001 0.001],[-3.9003]
[0.044],[1.7334],[0.001 0.001 0.001 0.001 0.001 0.001],[-3.1186]
[0.046],[1.7349],[0.001 0.001 0.001 0.001 0.001 0.001],[-2.3045]
[0.048],[1.7365],[0.001 0.001 0.001 0.001 0.001 0.001],[-1.4831]
[0.05],[1.7382],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.6759]
[0.052],[1.7398],[0.001 0.001 0.001 0.001 0.001 0.001],[0.0976]
[0.054],[1.7414],[0.001 0.001 0.001 0.001 0.001 0.001],[0.8202]
[0.056],[1.743],[0.001 0.001 0.001 0.001 0.001 0.001],[1.4776]
[0.058],[1.7445],[0.001 0.001 0.001 0.001 0.001 0.001],[2.0579]
[0.06],[1.7459],[0.001 0.001 0.001 0.001 0.001 0.001],[2.5524]
[0.062],[1.7471],[0.001  0.001  0.001  0.0017 0.001  0.001 ],[3.4558]
[0.064],[1.7481],[0.001  0.001  0.001  0.0021 0.001  0.001 ],[3.6835]
[0.066],[1.7489],[0.001  0.001  0.001  0.0024 0.001  0.001 ],[3.813]
[0.068],[1.7495],[0.001  0.001  0.001  0.0026 0.001  0.001 ],[3.8476]
[0.07],[1.75],[0.001  0.001  0.001  0.0027 0.001  0.001 ],[3.7931]
[0.072],[1.7502],[0.001  0.001  0.001  0.0027 0.001  0.001 ],[3.657]
[0.074],[1.7503],[0.001  0.001  0.001  0.0027 0.001  0.001 ],[3.4482]
[0.076],[1.7502],[0.001  0.001  0.001  0.0028 0.001  0.001 ],[3.1769]
[0.078],[1.75],[0.001  0.001  0.001  0.0028 0.001  0.001 ],[2.8538]
[0.08],[1.7496],[0.001  0.001  0.001  0.0028 0.001  0.001 ],[2.4903]
[0.082],[1.7491],[0.001  0.001  0.001  0.0028 0.001  0.001 ],[2.0777]
[0.084],[1.7485],[0.001  0.001  0.001  0.0027 0.001  0.001 ],[1.6745]
[0.086],[1.7479],[0.001  0.001  0.001  0.0027 0.001  0.001 ],[1.2629]
[0.088],[1.7472],[0.001  0.001  0.001  0.0027 0.001  0.001 ],[0.8542]
[0.09],[1.7465],[0.001  0.001  0.001  0.0026 0.001  0.001 ],[0.4576]
[0.092],[1.7457],[0.001  0.001  0.001  0.0026 0.001  0.001 ],[0.0817]
[0.094],[1.745],[0.001  0.001  0.001  0.0026 0.001  0.001 ],[-0.2663]
[0.096],[1.7443],[0.001  0.001  0.001  0.0025 0.001  0.001 ],[-0.5802]
[0.098],[1.7436],[0.001  0.001  0.001  0.0025 0.001  0.001 ],[-0.8553]
[0.1],[1.743],[0.001  0.001  0.001  0.0025 0.001  0.001 ],[-1.088]
[0.102],[1.7424],[0.001  0.001  0.001  0.0024 0.001  0.001 ],[-1.5013]
[0.104],[1.7419],[0.001  0.001  0.001  0.0024 0.001  0.001 ],[-1.6043]
[0.106],[1.7416],[0.001  0.001  0.001  0.0024 0.001  0.001 ],[-1.6608]
[0.108],[1.7413],[0.001  0.001  0.001  0.0023 0.001  0.001 ],[-1.6729]
[0.11],[1.741],[0.001  0.001  0.001  0.0023 0.001  0.001 ],[-1.6437]
[0.112],[1.7409],[0.001  0.001  0.001  0.0023 0.001  0.001 ],[-1.577]
[0.114],[1.7409],[0.001  0.001  0.001  0.0022 0.001  0.001 ],[-1.4773]
[0.116],[1.7409],[0.001  0.001  0.001  0.0022 0.001  0.001 ],[-1.3495]
[0.118],[1.741],[0.001  0.001  0.001  0.0022 0.001  0.001 ],[-1.1987]
[0.12],[1.7411],[0.001  0.001  0.001  0.0021 0.001  0.001 ],[-1.0304]
[0.122],[1.7413],[0.001  0.001  0.001  0.0021 0.001  0.001 ],[-0.8298]
[0.124],[1.7416],[0.001  0.001  0.001  0.0021 0.001  0.001 ],[-0.6461]
[0.126],[1.7419],[0.001  0.001  0.001  0.0021 0.001  0.001 ],[-0.4601]
[0.128],[1.7421],[0.001 0.001 0.001 0.002 0.001 0.001],[-0.2767]
[0.13],[1.7424],[0.001 0.001 0.001 0.002 0.001 0.001],[-0.1002]
[0.132],[1.7427],[0.001 0.001 0.001 0.002 0.001 0.001],[0.0658]
[0.134],[1.743],[0.001 0.001 0.001 0.002 0.001 0.001],[0.218]
[0.136],[1.7433],[0.001  0.001  0.001  0.0019 0.001  0.001 ],[0.3539]
[0.138],[1.7436],[0.001  0.001  0.001  0.0019 0.001  0.001 ],[0.4714]
[0.14],[1.7438],[0.001  0.001  0.001  0.0019 0.001  0.001 ],[0.5691]
[0.142],[1.744],[0.001  0.001  0.001  0.0019 0.001  0.001 ],[0.7501]
