timeVals,jointPos,muscleAct,motorTorque
[0.002],[1.7438],[0.0004 0.0004 0.0004 0.0004 0.0004 0.0004],[15.986]
[0.004],[1.7445],[0.0006 0.0006 0.0006 0.0006 0.0006 0.0006],[14.6808]
[0.006],[1.7444],[0.0008 0.0008 0.0008 0.0008 0.0008 0.0008],[12.195]
[0.008],[1.7438],[0.0009 0.0009 0.0009 0.0009 0.0009 0.0009],[9.7734]
[0.01],[1.7427],[0.0009 0.0009 0.0009 0.0009 0.0009 0.0009],[7.4188]
[0.012],[1.7412],[0.001 0.001 0.001 0.001 0.001 0.001],[5.1715]
[0.014],[1.7395],[0.001 0.001 0.001 0.001 0.001 0.001],[3.0671]
[0.016],[1.7377],[0.001 0.001 0.001 0.001 0.001 0.001],[1.1358]
[0.018],[1.7359],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.5978]
[0.02],[1.7341],[0.001 0.001 0.001 0.001 0.001 0.001],[-2.1146]
[0.022],[1.7325],[0.001 0.001 0.001 0.001 0.001 0.001],[-4.5336]
[0.024],[1.7311],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.3577]
[0.026],[1.73],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.9458]
[0.028],[1.7292],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.3055]
[0.03],[1.7287],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.4497]
[0.032],[1.7286],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.3949]
[0.034],[1.7287],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.1608]
[0.036],[1.7292],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.7697]
[0.038],[1.7299],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.2453]
[0.04],[1.7309],[0.001 0.001 0.001 0.001 0.001 0.001],[-4.6129]
[0.042],[1.732],[0.001  0.001  0.001  0.0036 0.0023 0.001 ],[-3.8937]
[0.044],[1.7334],[0.001  0.001  0.001  0.0051 0.003  0.001 ],[-3.105]
[0.046],[1.7349],[0.001  0.001  0.001  0.006  0.0035 0.001 ],[-2.2786]
[0.048],[1.7365],[0.001  0.001  0.001  0.0066 0.0037 0.001 ],[-1.4414]
[0.05],[1.7382],[0.001  0.001  0.001  0.0069 0.0039 0.001 ],[-0.6162]
[0.052],[1.7398],[0.001  0.001  0.001  0.0071 0.004  0.001 ],[0.1766]
[0.054],[1.7415],[0.001  0.001  0.001  0.0072 0.0041 0.001 ],[0.919]
[0.056],[1.7431],[0.001  0.001  0.001  0.0073 0.0041 0.001 ],[1.5961]
[0.058],[1.7446],[0.001  0.001  0.001  0.0074 0.0041 0.001 ],[2.1956]
[0.06],[1.746],[0.001  0.001  0.001  0.0074 0.0041 0.001 ],[2.7081]
[0.062],[1.7472],[0.001  0.001  0.001  0.0072 0.0041 0.001 ],[3.64]
[0.064],[1.7482],[0.001  0.001  0.001  0.0071 0.004  0.001 ],[3.8779]
[0.066],[1.7491],[0.001  0.001  0.001  0.0069 0.0039 0.001 ],[4.0138]
[0.068],[1.7497],[0.001  0.001  0.001  0.0068 0.0038 0.001 ],[4.0514]
[0.07],[1.7502],[0.001  0.001  0.001  0.0066 0.0038 0.001 ],[3.9966]
[0.072],[1.7504],[0.001  0.001  0.001  0.0065 0.0037 0.001 ],[3.8574]
[0.074],[1.7505],[0.001  0.001  0.001  0.0063 0.0036 0.001 ],[3.6428]
[0.076],[1.7504],[0.001  0.001  0.001  0.0062 0.0036 0.001 ],[3.3633]
[0.078],[1.7502],[0.001  0.001  0.001  0.0061 0.0035 0.001 ],[3.0301]
[0.08],[1.7498],[0.001  0.001  0.001  0.0059 0.0034 0.001 ],[2.6549]
[0.082],[1.7493],[0.001  0.001  0.001  0.0058 0.0034 0.001 ],[2.2282]
[0.084],[1.7487],[0.001  0.001  0.001  0.0057 0.0033 0.001 ],[1.8113]
[0.086],[1.748],[0.001  0.001  0.001  0.0056 0.0032 0.001 ],[1.3856]
[0.088],[1.7473],[0.001  0.001  0.001  0.0055 0.0032 0.001 ],[0.9625]
[0.09],[1.7465],[0.001  0.001  0.001  0.0053 0.0031 0.001 ],[0.5518]
[0.092],[1.7457],[0.001  0.001  0.001  0.0052 0.0031 0.001 ],[0.1621]
[0.094],[1.745],[0.001  0.001  0.001  0.0051 0.003  0.001 ],[-0.1989]
[0.096],[1.7442],[0.001 0.001 0.001 0.005 0.003 0.001],[-0.525]
[0.098],[1.7435],[0.001  0.001  0.001  0.0049 0.0029 0.001 ],[-0.8112]
[0.1],[1.7429],[0.001  0.001  0.001  0.0048 0.0029 0.001 ],[-1.0537]
[0.102],[1.7423],[0.001  0.001  0.001  0.0047 0.0028 0.001 ],[-1.4843]
[0.104],[1.7418],[0.001  0.001  0.001  0.0046 0.0028 0.001 ],[-1.593]
[0.106],[1.7414],[0.001  0.001  0.001  0.0045 0.0027 0.001 ],[-1.6536]
[0.108],[1.7411],[0.001  0.001  0.001  0.0044 0.0027 0.001 ],[-1.6684]
[0.11],[1.7409],[0.001  0.001  0.001  0.0044 0.0027 0.001 ],[-1.6406]
[0.112],[1.7408],[0.001  0.001  0.001  0.0043 0.0026 0.001 ],[-1.574]
[0.114],[1.7407],[0.001  0.001  0.001  0.0042 0.0026 0.001 ],[-1.4733]
[0.116],[1.7407],[0.001  0.001  0.001  0.0041 0.0025 0.001 ],[-1.3435]
[0.118],[1.7408],[0.001  0.001  0.001  0.004  0.0025 0.001 ],[-1.1898]
[0.12],[1.741],[0.001  0.001  0.001  0.004  0.0025 0.001 ],[-1.0179]
[0.122],[1.7412],[0.001  0.001  0.001  0.0039 0.0024 0.001 ],[-0.8145]
[0.124],[1.7414],[0.001  0.001  0.001  0.0038 0.0024 0.001 ],[-0.6263]
[0.126],[1.7417],[0.001  0.001  0.001  0.0037 0.0023 0.001 ],[-0.4354]
[0.128],[1.742],[0.001  0.001  0.001  0.0037 0.0023 0.001 ],[-0.2472]
[0.13],[1.7423],[0.001  0.001  0.001  0.0036 0.0023 0.001 ],[-0.0659]
[0.132],[1.7426],[0.001  0.001  0.001  0.0035 0.0022 0.001 ],[0.1046]
[0.134],[1.743],[0.001  0.001  0.001  0.0035 0.0022 0.001 ],[0.261]
[0.136],[1.7432],[0.001  0.001  0.001  0.0034 0.0022 0.001 ],[0.4007]
[0.138],[1.7435],[0.001  0.001  0.001  0.0033 0.0022 0.001 ],[0.5215]
[0.14],[1.7438],[0.001  0.001  0.001  0.0033 0.0021 0.001 ],[0.6219]
[0.142],[1.744],[0.001  0.001  0.001  0.0032 0.0021 0.001 ],[0.8074]
[0.144],[1.7442],[0.001  0.001  0.001  0.0032 0.0021 0.001 ],[0.847]
[0.146],[1.7443],[0.001  0.001  0.001  0.0031 0.002  0.001 ],[0.8647]
[0.148],[1.7444],[0.001  0.001  0.001  0.0031 0.002  0.001 ],[0.8617]
[0.15],[1.7444],[0.001 0.001 0.001 0.003 0.002 0.001],[0.8395]
[0.152],[1.7445],[0.001 0.001 0.001 0.003 0.002 0.001],[0.8002]
[0.154],[1.7444],[0.001  0.001  0.001  0.0029 0.0019 0.001 ],[0.7459]
[0.156],[1.7444],[0.001  0.001  0.001  0.0029 0.0019 0.001 ],[0.679]
[0.158],[1.7443],[0.001  0.001  0.001  0.0028 0.0019 0.001 ],[0.6021]
[0.16],[1.7442],[0.001  0.001  0.001  0.0028 0.0019 0.001 ],[0.5177]
[0.162],[1.7441],[0.001  0.001  0.001  0.0027 0.0019 0.001 ],[0.4158]
[0.164],[1.7439],[0.001  0.001  0.001  0.0027 0.0018 0.001 ],[0.3267]
[0.166],[1.7438],[0.001  0.001  0.001  0.0026 0.0018 0.001 ],[0.2372]
[0.168],[1.7436],[0.001  0.001  0.001  0.0026 0.0018 0.001 ],[0.1498]
[0.17],[1.7434],[0.001  0.001  0.001  0.0026 0.0018 0.001 ],[0.0663]
[0.172],[1.7432],[0.001  0.001  0.001  0.0025 0.0018 0.001 ],[-0.0116]
[0.174],[1.7431],[0.001  0.001  0.001  0.0025 0.0017 0.001 ],[-0.0824]
[0.176],[1.7429],[0.001  0.001  0.001  0.0024 0.0017 0.001 ],[-0.1451]
[0.178],[1.7428],[0.001  0.001  0.001  0.0024 0.0017 0.001 ],[-0.1987]
[0.18],[1.7427],[0.001  0.001  0.001  0.0024 0.0017 0.001 ],[-0.2428]
[0.182],[1.7425],[0.001  0.001  0.001  0.0023 0.0017 0.001 ],[-0.3249]
[0.184],[1.7425],[0.001  0.001  0.001  0.0023 0.0016 0.001 ],[-0.3407]
[0.186],[1.7424],[0.001  0.001  0.001  0.0023 0.0016 0.001 ],[-0.3465]
