timeVals,jointPos,muscleAct,motorTorque
[0.002],[1.7439],[0.0004 0.0004 0.0004 0.0004 0.0004 0.0004],[16.0123]
[0.004],[1.7445],[0.0006 0.0006 0.0006 0.0006 0.0006 0.0006],[14.704]
[0.006],[1.7445],[0.0008 0.0008 0.0008 0.0008 0.0008 0.0008],[12.2125]
[0.008],[1.7438],[0.0009 0.0009 0.0009 0.0009 0.0009 0.0009],[9.7856]
[0.01],[1.7427],[0.0009 0.0009 0.0009 0.0009 0.0009 0.0009],[7.426]
[0.012],[1.7412],[0.001 0.001 0.001 0.001 0.001 0.001],[5.1743]
[0.014],[1.7395],[0.001 0.001 0.001 0.001 0.001 0.001],[3.0658]
[0.016],[1.7377],[0.001 0.001 0.001 0.001 0.001 0.001],[1.1309]
[0.018],[1.7359],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.6057]
[0.02],[1.734],[0.001 0.001 0.001 0.001 0.001 0.001],[-2.125]
[0.022],[1.7324],[0.001 0.001 0.001 0.001 0.001 0.001],[-4.5482]
[0.024],[1.7311],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.3732]
[0.026],[1.73],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.9616]
[0.028],[1.7292],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.3211]
[0.03],[1.7287],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.4647]
[0.032],[1.7285],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.4089]
[0.034],[1.7287],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.1735]
[0.036],[1.7292],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.7808]
[0.038],[1.7299],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.2546]
[0.04],[1.7308],[0.001 0.001 0.001 0.001 0.001 0.001],[-4.6203]
[0.042],[1.732],[0.001 0.001 0.001 0.001 0.001 0.001],[-3.8985]
[0.044],[1.7334],[0.001 0.001 0.001 0.001 0.001 0.001],[-3.1176]
[0.046],[1.7349],[0.001 0.001 0.001 0.001 0.001 0.001],[-2.3041]
[0.048],[1.7365],[0.001 0.001 0.001 0.001 0.001 0.001],[-1.4832]
[0.05],[1.7381],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.6766]
[0.052],[1.7398],[0.001 0.001 0.001 0.001 0.001 0.001],[0.0964]
[0.054],[1.7414],[0.001 0.001 0.001 0.001 0.001 0.001],[0.8185]
[0.056],[1.743],[0.001 0.001 0.001 0.001 0.001 0.001],[1.4755]
[0.058],[1.7445],[0.001 0.001 0.001 0.001 0.001 0.001],[2.0556]
[0.06],[1.7458],[0.001 0.001 0.001 0.001 0.001 0.001],[2.5498]
[0.062],[1.747],[0.001 0.001 0.001 0.001 0.001 0.001],[3.4528]
[0.064],[1.7481],[0.001 0.001 0.001 0.001 0.001 0.001],[3.6783]
