timeVals,jointPos,muscleAct,motorTorque
[0.002],[1.7439],[0.0004 0.0004 0.0004 0.0004 0.0004 0.0004],[16.0028]
[0.004],[1.7445],[0.0006 0.0006 0.0006 0.0006 0.0006 0.0006],[14.6957]
[0.006],[1.7445],[0.0008 0.0008 0.0008 0.0008 0.0008 0.0008],[12.2062]
[0.008],[1.7438],[0.0009 0.0009 0.0009 0.0009 0.0009 0.0009],[9.7813]
[0.01],[1.7427],[0.0009 0.0009 0.0009 0.0009 0.0009 0.0009],[7.4235]
[0.012],[1.7412],[0.001 0.001 0.001 0.001 0.001 0.001],[5.1733]
[0.014],[1.7395],[0.001 0.001 0.001 0.001 0.001 0.001],[3.0663]
[0.016],[1.7377],[0.001 0.001 0.001 0.001 0.001 0.001],[1.1327]
[0.018],[1.7359],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.6028]
[0.02],[1.7341],[0.001 0.001 0.001 0.001 0.001 0.001],[-2.1212]
[0.022],[1.7324],[0.001 0.001 0.001 0.001 0.001 0.001],[-4.5429]
[0.024],[1.7311],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.3676]
[0.026],[1.73],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.9558]
[0.028],[1.7292],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.3155]
[0.03],[1.7287],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.4593]
[0.032],[1.7286],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.4038]
[0.034],[1.7287],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.1689]
[0.036],[1.7292],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.7767]
[0.038],[1.7299],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.2512]
[0.04],[1.7309],[0.001 0.001 0.001 0.001 0.001 0.001],[-4.6176]
[0.042],[1.732],[0.001  0.001  0.001  0.0011 0.001  0.0012],[-3.8968]
[0.044],[1.7334],[0.001  0.001  0.001  0.0012 0.0011 0.0013],[-3.1157]
[0.046],[1.7349],[0.001  0.001  0.001  0.0012 0.0011 0.0013],[-2.3017]
[0.048],[1.7365],[0.001  0.001  0.001  0.0012 0.0011 0.0014],[-1.48]
[0.05],[1.7381],[0.001  0.001  0.001  0.0012 0.0011 0.0014],[-0.6724]
[0.052],[1.7398],[0.001  0.001  0.001  0.0012 0.0011 0.0014],[0.1018]
[0.054],[1.7414],[0.001  0.001  0.001  0.0012 0.0011 0.0014],[0.8252]
[0.056],[1.743],[0.001  0.001  0.001  0.0012 0.0011 0.0014],[1.4835]
[0.058],[1.7445],[0.001  0.001  0.001  0.0012 0.0011 0.0014],[2.0649]
[0.06],[1.7459],[0.001  0.001  0.001  0.0012 0.0011 0.0014],[2.5604]
[0.062],[1.747],[0.001  0.001  0.001  0.0013 0.0011 0.0016],[3.4653]
[0.064],[1.7481],[0.001  0.001  0.001  0.0013 0.0011 0.0017],[3.6923]
[0.066],[1.7489],[0.001  0.001  0.001  0.0013 0.0011 0.0017],[3.8202]
[0.068],[1.7495],[0.001  0.001  0.001  0.0013 0.0011 0.0017],[3.8526]
[0.07],[1.75],[0.001  0.001  0.001  0.0014 0.0011 0.0018],[3.7954]
[0.072],[1.7502],[0.001  0.001  0.001  0.0014 0.0011 0.0018],[3.6562]
[0.074],[1.7503],[0.001  0.001  0.001  0.0014 0.0011 0.0018],[3.4442]
[0.076],[1.7502],[0.001  0.001  0.001  0.0014 0.0011 0.0018],[3.1696]
[0.078],[1.75],[0.001  0.001  0.001  0.0014 0.0011 0.0018],[2.8432]
[0.08],[1.7496],[0.001  0.001  0.001  0.0014 0.0011 0.0018],[2.4766]
[0.082],[1.7491],[0.001  0.001  0.001  0.0014 0.0011 0.0019],[2.0592]
[0.084],[1.7485],[0.001  0.001  0.001  0.0014 0.0011 0.002 ],[1.6542]
[0.086],[1.7478],[0.001  0.001  0.001  0.0015 0.0011 0.0021],[1.2415]
[0.088],[1.7471],[0.001  0.001  0.001  0.0015 0.0011 0.0021],[0.8323]
[0.09],[1.7464],[0.001  0.001  0.001  0.0015 0.0011 0.0021],[0.4359]
[0.092],[1.7457],[0.001  0.001  0.001  0.0015 0.0011 0.0021],[0.0606]
[0.094],[1.7449],[0.001  0.001  0.001  0.0015 0.0012 0.0021],[-0.2863]
[0.096],[1.7442],[0.001  0.001  0.001  0.0015 0.0012 0.0021],[-0.5988]
[0.098],[1.7435],[0.001  0.001  0.001  0.0015 0.0012 0.0021],[-0.872]
[0.1],[1.7429],[0.001  0.001  0.001  0.0015 0.0012 0.0021],[-1.1025]
[0.102],[1.7424],[0.001  0.001  0.001  0.0015 0.0012 0.0023],[-1.5131]
[0.104],[1.7419],[0.001  0.001  0.001  0.0015 0.0012 0.0024],[-1.6131]
[0.106],[1.7415],[0.001  0.001  0.001  0.0016 0.0012 0.0024],[-1.6662]
[0.108],[1.7412],[0.001  0.001  0.001  0.0016 0.0012 0.0024],[-1.6746]
[0.11],[1.741],[0.001  0.001  0.001  0.0016 0.0012 0.0025],[-1.6417]
[0.112],[1.7409],[0.001  0.001  0.001  0.0016 0.0012 0.0025],[-1.5712]
[0.114],[1.7409],[0.001  0.001  0.001  0.0016 0.0012 0.0025],[-1.4677]
[0.116],[1.7409],[0.001  0.001  0.001  0.0016 0.0012 0.0025],[-1.3363]
[0.118],[1.741],[0.001  0.001  0.001  0.0016 0.0012 0.0025],[-1.1822]
[0.12],[1.7411],[0.001  0.001  0.001  0.0016 0.0012 0.0025],[-1.0107]
[0.122],[1.7414],[0.001  0.001  0.001  0.0016 0.0012 0.0026],[-0.8048]
[0.124],[1.7416],[0.001  0.001  0.001  0.0016 0.0012 0.0027],[-0.6188]
[0.126],[1.7419],[0.001  0.001  0.001  0.0016 0.0012 0.0027],[-0.4305]
[0.128],[1.7422],[0.001  0.001  0.001  0.0016 0.0012 0.0027],[-0.2452]
[0.13],[1.7425],[0.001  0.001  0.001  0.0016 0.0012 0.0027],[-0.0671]
[0.132],[1.7428],[0.001  0.001  0.001  0.0016 0.0012 0.0027],[0.1002]
[0.134],[1.7431],[0.001  0.001  0.001  0.0016 0.0012 0.0027],[0.2535]
[0.136],[1.7434],[0.001  0.001  0.001  0.0016 0.0012 0.0027],[0.39]
[0.138],[1.7436],[0.001  0.001  0.001  0.0016 0.0012 0.0028],[0.508]
[0.14],[1.7439],[0.001  0.001  0.001  0.0016 0.0012 0.0028],[0.6058]
[0.142],[1.7441],[0.001  0.001  0.001  0.0017 0.0012 0.0028],[0.7879]
[0.144],[1.7442],[0.001  0.001  0.001  0.0017 0.0012 0.0029],[0.8262]
[0.146],[1.7444],[0.001  0.001  0.001  0.0017 0.0012 0.0029],[0.8431]
[0.148],[1.7444],[0.001  0.001  0.001  0.0017 0.0012 0.003 ],[0.84]
[0.15],[1.7445],[0.001  0.001  0.001  0.0017 0.0012 0.003 ],[0.8182]
[0.152],[1.7445],[0.001  0.001  0.001  0.0017 0.0012 0.003 ],[0.7798]
[0.154],[1.7445],[0.001  0.001  0.001  0.0017 0.0012 0.003 ],[0.7269]
[0.156],[1.7444],[0.001  0.001  0.001  0.0017 0.0012 0.003 ],[0.6618]
[0.158],[1.7443],[0.001  0.001  0.001  0.0017 0.0012 0.003 ],[0.5871]
[0.16],[1.7442],[0.001  0.001  0.001  0.0017 0.0012 0.003 ],[0.5052]
[0.162],[1.7441],[0.001  0.001  0.001  0.0017 0.0012 0.0031],[0.4068]
[0.164],[1.7439],[0.001  0.001  0.001  0.0017 0.0012 0.0031],[0.3208]
[0.166],[1.7438],[0.001  0.001  0.001  0.0017 0.0012 0.0032],[0.2347]
[0.168],[1.7436],[0.001  0.001  0.001  0.0017 0.0012 0.0032],[0.1508]
[0.17],[1.7435],[0.001  0.001  0.001  0.0017 0.0012 0.0032],[0.071]
[0.172],[1.7433],[0.001  0.001  0.001  0.0017 0.0012 0.0032],[-0.0033]
[0.174],[1.7431],[0.001  0.001  0.001  0.0017 0.0012 0.0032],[-0.0706]
[0.176],[1.743],[0.001  0.001  0.001  0.0017 0.0012 0.0032],[-0.1299]
[0.178],[1.7428],[0.001  0.001  0.001  0.0017 0.0012 0.0032],[-0.1804]
[0.18],[1.7427],[0.001  0.001  0.001  0.0017 0.0012 0.0032],[-0.2214]
[0.182],[1.7426],[0.001  0.001  0.001  0.0017 0.0012 0.0033],[-0.2984]
[0.184],[1.7425],[0.001  0.001  0.001  0.0017 0.0012 0.0033],[-0.3119]
[0.186],[1.7424],[0.001  0.001  0.001  0.0017 0.0012 0.0034],[-0.3157]
[0.188],[1.7424],[0.001  0.001  0.001  0.0017 0.0012 0.0034],[-0.3102]
[0.19],[1.7424],[0.001  0.001  0.001  0.0017 0.0012 0.0034],[-0.2965]
[0.192],[1.7423],[0.001  0.001  0.001  0.0017 0.0012 0.0034],[-0.2753]
[0.194],[1.7423],[0.001  0.001  0.001  0.0017 0.0012 0.0034],[-0.2478]
[0.196],[1.7423],[0.001  0.001  0.001  0.0017 0.0012 0.0034],[-0.2152]
[0.198],[1.7424],[0.001  0.001  0.001  0.0017 0.0012 0.0034],[-0.1785]
[0.2],[1.7424],[0.001  0.001  0.001  0.0017 0.0012 0.0034],[-0.139]
[0.202],[1.7425],[0.001  0.001  0.001  0.0017 0.0012 0.0035],[-0.089]
[0.204],[1.7425],[0.001  0.001  0.001  0.0017 0.0012 0.0035],[-0.0486]
[0.206],[1.7426],[0.001  0.001  0.001  0.0017 0.0012 0.0035],[-0.0085]
[0.208],[1.7426],[0.001  0.001  0.001  0.0017 0.0012 0.0036],[0.0303]
[0.21],[1.7427],[0.001  0.001  0.001  0.0017 0.0012 0.0036],[0.0669]
[0.212],[1.7428],[0.001  0.001  0.001  0.0017 0.0012 0.0036],[0.1006]
[0.214],[1.7428],[0.001  0.001  0.001  0.0017 0.0012 0.0036],[0.1309]
[0.216],[1.7429],[0.001  0.001  0.001  0.0017 0.0012 0.0036],[0.1573]
[0.218],[1.7429],[0.001  0.001  0.001  0.0017 0.0012 0.0036],[0.1794]
[0.22],[1.743],[0.001  0.001  0.001  0.0017 0.0012 0.0036],[0.197]
[0.222],[1.743],[0.001  0.001  0.001  0.0017 0.0012 0.0036],[0.2319]
[0.224],[1.743],[0.001  0.001  0.001  0.0017 0.0012 0.0037],[0.237]
[0.226],[1.7431],[0.001  0.001  0.001  0.0017 0.0012 0.0037],[0.2377]
[0.228],[1.7431],[0.001  0.001  0.001  0.0017 0.0012 0.0037],[0.2343]
[0.23],[1.7431],[0.001  0.001  0.001  0.0017 0.0012 0.0037],[0.2271]
[0.232],[1.7431],[0.001  0.001  0.001  0.0017 0.0012 0.0037],[0.2167]
[0.234],[1.7431],[0.001  0.001  0.001  0.0017 0.0012 0.0037],[0.2034]
[0.236],[1.743],[0.001  0.001  0.001  0.0017 0.0012 0.0037],[0.1879]
[0.238],[1.743],[0.001  0.001  0.001  0.0017 0.0012 0.0037],[0.1707]
[0.24],[1.743],[0.001  0.001  0.001  0.0017 0.0012 0.0037],[0.1523]
[0.242],[1.743],[0.001  0.001  0.001  0.0017 0.0012 0.0038],[0.1294]
[0.244],[1.7429],[0.001  0.001  0.001  0.0017 0.0012 0.0038],[0.1112]
[0.246],[1.7429],[0.001  0.001  0.001  0.0017 0.0012 0.0038],[0.0932]
[0.248],[1.7428],[0.001  0.001  0.001  0.0017 0.0012 0.0039],[0.0761]
[0.25],[1.7428],[0.001  0.001  0.001  0.0017 0.0012 0.0039],[0.0601]
[0.252],[1.7428],[0.001  0.001  0.001  0.0017 0.0012 0.0039],[0.0455]
[0.254],[1.7427],[0.001  0.001  0.001  0.0017 0.0012 0.0039],[0.0326]
[0.256],[1.7427],[0.001  0.001  0.001  0.0017 0.0012 0.0039],[0.0215]
[0.258],[1.7427],[0.001  0.001  0.001  0.0017 0.0012 0.0039],[0.0124]
[0.26],[1.7426],[0.001  0.001  0.001  0.0017 0.0012 0.0039],[0.0053]
[0.262],[1.7426],[0.001  0.001  0.001  0.0017 0.0012 0.0039],[-0.0086]
[0.264],[1.7426],[0.001  0.001  0.001  0.0017 0.0012 0.004 ],[-0.0099]
[0.266],[1.7426],[0.001  0.001  0.001  0.0017 0.0012 0.004 ],[-0.0092]
[0.268],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.004 ],[-0.0066]
[0.27],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.004 ],[-0.0023]
[0.272],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.004 ],[0.0034]
[0.274],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.004 ],[0.0103]
[0.276],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.004 ],[0.0181]
[0.278],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.004 ],[0.0266]
[0.28],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.004 ],[0.0355]
[0.282],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.004 ],[0.0475]
[0.284],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.0041],[0.0561]
[0.286],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.0041],[0.0646]
[0.288],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.0041],[0.0727]
[0.29],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.0041],[0.0801]
[0.292],[1.7427],[0.001  0.001  0.001  0.0018 0.0012 0.0041],[0.0869]
[0.294],[1.7427],[0.001  0.001  0.001  0.0018 0.0012 0.0041],[0.0928]
[0.296],[1.7427],[0.001  0.001  0.001  0.0018 0.0012 0.0041],[0.0978]
[0.298],[1.7427],[0.001  0.001  0.001  0.0018 0.0012 0.0041],[0.1019]
[0.3],[1.7427],[0.001  0.001  0.001  0.0018 0.0012 0.0041],[0.105]
[0.302],[1.7427],[0.001  0.001  0.001  0.0018 0.0012 0.0042],[0.1117]
[0.304],[1.7427],[0.001  0.001  0.001  0.0018 0.0012 0.0042],[0.1122]
[0.306],[1.7427],[0.001  0.001  0.001  0.0018 0.0012 0.0042],[0.1118]
[0.308],[1.7427],[0.001  0.001  0.001  0.0018 0.0012 0.0042],[0.1106]
[0.31],[1.7427],[0.001  0.001  0.001  0.0018 0.0012 0.0042],[0.1086]
[0.312],[1.7427],[0.001  0.001  0.001  0.0018 0.0012 0.0042],[0.106]
[0.314],[1.7427],[0.001  0.001  0.001  0.0018 0.0012 0.0042],[0.1028]
[0.316],[1.7427],[0.001  0.001  0.001  0.0018 0.0012 0.0042],[0.0993]
[0.318],[1.7427],[0.001  0.001  0.001  0.0018 0.0012 0.0042],[0.0954]
[0.32],[1.7427],[0.001  0.001  0.001  0.0018 0.0012 0.0042],[0.0914]
[0.322],[1.7427],[0.001  0.001  0.001  0.0018 0.0012 0.0042],[0.0864]
[0.324],[1.7427],[0.001  0.001  0.001  0.0018 0.0012 0.0043],[0.0826]
[0.326],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.0043],[0.079]
[0.328],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.0043],[0.0756]
[0.33],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.0043],[0.0725]
[0.332],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.0043],[0.0697]
[0.334],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.0043],[0.0674]
[0.336],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.0043],[0.0654]
[0.338],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.0043],[0.0638]
[0.34],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.0043],[0.0627]
[0.342],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.0043],[0.0605]
[0.344],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.0043],[0.0605]
[0.346],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.0044],[0.0611]
[0.348],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.0044],[0.062]
[0.35],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.0044],[0.0632]
[0.352],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.0044],[0.0647]
[0.354],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.0044],[0.0664]
[0.356],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.0044],[0.0682]
[0.358],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.0044],[0.0702]
[0.36],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.0044],[0.0722]
[0.362],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.0044],[0.0751]
[0.364],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.0044],[0.077]
[0.366],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.0044],[0.0788]
[0.368],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.0044],[0.0805]
[0.37],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.0044],[0.082]
[0.372],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.0044],[0.0834]
[0.374],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.0044],[0.0845]
[0.376],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.0044],[0.0855]
[0.378],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.0044],[0.0862]
[0.38],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.0044],[0.0868]
[0.382],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.0045],[0.0882]
[0.384],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.0045],[0.0882]
[0.386],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.0045],[0.088]
[0.388],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.0045],[0.0877]
[0.39],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.0045],[0.0873]
[0.392],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.0045],[0.0867]
[0.394],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.0045],[0.086]
[0.396],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.0045],[0.0852]
[0.398],[1.7426],[0.001  0.001  0.001  0.0018 0.0012 0.0045],[0.0844]
