timeVals,jointPos,muscleAct,motorTorque
[0.002],[1.7411],[0.0004 0.0004 0.0004 0.0004 0.0004 0.0004],[26.5233]
[0.004],[1.7384],[0.0006 0.0006 0.0006 0.0006 0.0006 0.0006],[22.4211]
[0.006],[1.7346],[0.0008 0.0008 0.0008 0.0008 0.0008 0.0008],[15.4466]
[0.008],[1.7301],[0.0009 0.0009 0.0009 0.0009 0.0009 0.0009],[9.0631]
[0.01],[1.7253],[0.0009 0.0009 0.0009 0.0009 0.0009 0.0009],[3.2462]
[0.012],[1.7203],[0.001 0.001 0.001 0.001 0.001 0.001],[-1.9355]
[0.014],[1.7155],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.4327]
[0.016],[1.7111],[0.001 0.001 0.001 0.001 0.001 0.001],[-10.2136]
[0.018],[1.7072],[0.001 0.001 0.001 0.001 0.001 0.001],[-13.2638]
[0.02],[1.704],[0.001 0.001 0.001 0.001 0.001 0.001],[-15.5849]
[0.022],[1.7018],[0.001 0.001 0.001 0.001 0.001 0.001],[-19.9359]
[0.024],[1.7005],[0.001 0.001 0.001 0.001 0.001 0.001],[-20.3171]
[0.026],[1.7003],[0.001 0.001 0.001 0.001 0.001 0.001],[-20.0643]
[0.028],[1.701],[0.001 0.001 0.001 0.001 0.001 0.001],[-19.2452]
[0.03],[1.7027],[0.001 0.001 0.001 0.001 0.001 0.001],[-17.9329]
[0.032],[1.7052],[0.001 0.001 0.001 0.001 0.001 0.001],[-16.2054]
[0.034],[1.7085],[0.001 0.001 0.001 0.001 0.001 0.001],[-14.1443]
[0.036],[1.7124],[0.001 0.001 0.001 0.001 0.001 0.001],[-11.8318]
[0.038],[1.7168],[0.001 0.001 0.001 0.001 0.001 0.001],[-9.3493]
[0.04],[1.7216],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.7753]
[0.042],[1.7267],[0.001  0.001  0.001  0.018  0.0193 0.0091],[-3.1836]
